TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-15 10:52:46,1768474366020,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,qvlwm-1768474366020-74450ff7cb27,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,4,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:45,1768474365010,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,4pdcc-1768474365010-0ddc711634a7,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,46,iad1,304,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJK6BHG7QTXPG5BFMV005,dNXPl19i1zjD,1
2026-01-15 10:52:45,1768474365010,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,4pdcc-1768474365010-0ddc711634a7,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,11,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:44,1768474364226,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,,200,44pwv-1768474364226-f6f17c851919,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,1,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:43,1768474363015,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,44pwv-1768474363015-2e89f8bf9a4e,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,21,iad1,304,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJH7AR6TGVJZS498CSSGJ,dNXPl19i1zjD,1
2026-01-15 10:52:43,1768474363015,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,44pwv-1768474363015-2e89f8bf9a4e,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:42,1768474362033,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,,200,44pwv-1768474362033-c91a32952ac7,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,1,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:41,1768474361005,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,44pwv-1768474361005-d685ff70fc13,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,15,iad1,304,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJF8QGTCA7NQRFKF5QPRM,dNXPl19i1zjD,1
2026-01-15 10:52:41,1768474361005,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,44pwv-1768474361005-d685ff70fc13,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,8,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:40,1768474360010,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,sv6xd-1768474360010-55cd548ca8e3,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,15,iad1,304,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJE9XCT7B61ZGJ8Z1B31Y,dNXPl19i1zjD,1
